histogram,bin_left,bin_right,count
absolute_x,-106.2215,-100.72157750000001,10350
absolute_x,-100.72157750000001,-95.221655,3004
absolute_x,-95.221655,-89.7217325,3712
absolute_x,-89.7217325,-84.22181,5014
absolute_x,-84.22181,-78.72188750000001,7462
absolute_x,-78.72188750000001,-73.22196500000001,7532
absolute_x,-73.22196500000001,-67.7220425,6812
absolute_x,-67.7220425,-62.222120000000004,7520
absolute_x,-62.222120000000004,-56.72219750000001,7676
absolute_x,-56.72219750000001,-51.222275,8804
absolute_x,-51.222275,-45.7223525,9732
absolute_x,-45.7223525,-40.22243,9172
absolute_x,-40.22243,-34.722507500000006,8124
absolute_x,-34.722507500000006,-29.222584999999995,7964
absolute_x,-29.222584999999995,-23.7226625,9682
absolute_x,-23.7226625,-18.22274,9020
absolute_x,-18.22274,-12.722817500000005,8576
absolute_x,-12.722817500000005,-7.222895000000008,8482
absolute_x,-7.222895000000008,-1.7229724999999974,8176
absolute_x,-1.7229724999999974,3.7769499999999994,8172
absolute_x,3.7769499999999994,9.276872499999996,8356
absolute_x,9.276872499999996,14.776795000000007,7818
absolute_x,14.776795000000007,20.276717500000004,7768
absolute_x,20.276717500000004,25.77664,8088
absolute_x,25.77664,31.276562499999997,7710
absolute_x,31.276562499999997,36.776484999999994,8468
absolute_x,36.776484999999994,42.27640749999999,7988
absolute_x,42.27640749999999,47.776330000000016,6728
absolute_x,47.776330000000016,53.27625250000001,6322
absolute_x,53.27625250000001,58.77617500000001,6084
absolute_x,58.77617500000001,64.2760975,6300
absolute_x,64.2760975,69.77602,6272
absolute_x,69.77602,75.2759425,5796
absolute_x,75.2759425,80.775865,6722
absolute_x,80.775865,86.27578749999999,6148
absolute_x,86.27578749999999,91.77570999999999,5450
absolute_x,91.77570999999999,97.27563250000001,4554
absolute_x,97.27563250000001,102.77555500000001,4306
absolute_x,102.77555500000001,108.27547750000001,4272
absolute_x,108.27547750000001,113.7754,7898
absolute_y,5.0,5.75378725,140
absolute_y,5.75378725,6.5075745000000005,108
absolute_y,6.5075745000000005,7.26136175,118
absolute_y,7.26136175,8.015149000000001,106
absolute_y,8.015149000000001,8.76893625,110
absolute_y,8.76893625,9.5227235,110
absolute_y,9.5227235,10.27651075,110
absolute_y,10.27651075,11.030298,114
absolute_y,11.030298,11.78408525,106
absolute_y,11.78408525,12.5378725,112
absolute_y,12.5378725,13.29165975,110
absolute_y,13.29165975,14.045447,110
absolute_y,14.045447,14.79923425,122
absolute_y,14.79923425,15.5530215,190820
absolute_y,15.5530215,16.306808750000002,20
absolute_y,16.306808750000002,17.060596,16
absolute_y,17.060596,17.81438325,20
absolute_y,17.81438325,18.5681705,20
absolute_y,18.5681705,19.321957750000003,16
absolute_y,19.321957750000003,20.075745,20
absolute_y,20.075745,20.82953225,20
absolute_y,20.82953225,21.5833195,20
absolute_y,21.5833195,22.33710675,16
absolute_y,22.33710675,23.090894,20
absolute_y,23.090894,23.84468125,20
absolute_y,23.84468125,24.5984685,16
absolute_y,24.5984685,25.35225575,20
absolute_y,25.35225575,26.106043,20
absolute_y,26.106043,26.85983025,18
absolute_y,26.85983025,27.6136175,20
absolute_y,27.6136175,28.367404750000002,18
absolute_y,28.367404750000002,29.121192,20
absolute_y,29.121192,29.87497925,18
absolute_y,29.87497925,30.6287665,18
absolute_y,30.6287665,31.38255375,20
absolute_y,31.38255375,32.136341,18
absolute_y,32.136341,32.890128250000004,18
absolute_y,32.890128250000004,33.643915500000006,20
absolute_y,33.643915500000006,34.39770275,26
absolute_y,34.39770275,35.15149,95260
absolute_z,-111.0308,-105.558705,5140
absolute_z,-105.558705,-100.08661,6546
absolute_z,-100.08661,-94.614515,5900
absolute_z,-94.614515,-89.14242,3136
absolute_z,-89.14242,-83.67032499999999,7012
absolute_z,-83.67032499999999,-78.19823,7762
absolute_z,-78.19823,-72.726135,4770
absolute_z,-72.726135,-67.25404,8606
absolute_z,-67.25404,-61.78194499999999,8718
absolute_z,-61.78194499999999,-56.30985,5832
absolute_z,-56.30985,-50.837754999999994,9394
absolute_z,-50.837754999999994,-45.36565999999999,10776
absolute_z,-45.36565999999999,-39.893564999999995,6530
absolute_z,-39.893564999999995,-34.42147,10042
absolute_z,-34.42147,-28.94937499999999,10294
absolute_z,-28.94937499999999,-23.477279999999993,7146
absolute_z,-23.477279999999993,-18.005184999999997,10416
absolute_z,-18.005184999999997,-12.533089999999987,10572
absolute_z,-12.533089999999987,-7.060994999999991,10122
absolute_z,-7.060994999999991,-1.5888999999999953,8068
absolute_z,-1.5888999999999953,3.883195000000015,10330
absolute_z,3.883195000000015,9.35529000000001,10070
absolute_z,9.35529000000001,14.827385000000007,6062
absolute_z,14.827385000000007,20.299480000000017,9628
absolute_z,20.299480000000017,25.771575000000013,9944
absolute_z,25.771575000000013,31.24367000000001,6398
absolute_z,31.24367000000001,36.715765000000005,8476
absolute_z,36.715765000000005,42.18786,8198
absolute_z,42.18786,47.659955000000025,5242
absolute_z,47.659955000000025,53.13205000000002,7364
absolute_z,53.13205000000002,58.60414500000002,7482
absolute_z,58.60414500000002,64.07624000000001,5000
absolute_z,64.07624000000001,69.54833500000001,6162
absolute_z,69.54833500000001,75.02043,5362
absolute_z,75.02043,80.492525,3068
absolute_z,80.492525,85.96462000000002,5326
absolute_z,85.96462000000002,91.43671500000002,5062
absolute_z,91.43671500000002,96.90881000000002,4188
absolute_z,96.90881000000002,102.38090500000001,3510
absolute_z,102.38090500000001,107.853,4380
timestamp_s,0.0,60.00750000000001,7206
timestamp_s,60.00750000000001,120.01500000000001,7200
timestamp_s,120.01500000000001,180.02250000000004,7200
timestamp_s,180.02250000000004,240.03000000000003,7200
timestamp_s,240.03000000000003,300.0375,7200
timestamp_s,300.0375,360.0450000000001,7200
timestamp_s,360.0450000000001,420.05250000000007,7206
timestamp_s,420.05250000000007,480.06000000000006,7200
timestamp_s,480.06000000000006,540.0675000000001,7200
timestamp_s,540.0675000000001,600.075,7200
timestamp_s,600.075,660.0825000000001,7200
timestamp_s,660.0825000000001,720.0900000000001,7200
timestamp_s,720.0900000000001,780.0975000000001,7200
timestamp_s,780.0975000000001,840.1050000000001,7206
timestamp_s,840.1050000000001,900.1125000000001,7200
timestamp_s,900.1125000000001,960.1200000000001,7200
timestamp_s,960.1200000000001,1020.1275000000002,7200
timestamp_s,1020.1275000000002,1080.1350000000002,7200
timestamp_s,1080.1350000000002,1140.1425000000002,7200
timestamp_s,1140.1425000000002,1200.15,7200
timestamp_s,1200.15,1260.1575000000003,7206
timestamp_s,1260.1575000000003,1320.1650000000002,7200
timestamp_s,1320.1650000000002,1380.1725000000001,7200
timestamp_s,1380.1725000000001,1440.1800000000003,7200
timestamp_s,1440.1800000000003,1500.1875000000002,7200
timestamp_s,1500.1875000000002,1560.1950000000002,7200
timestamp_s,1560.1950000000002,1620.2025,7206
timestamp_s,1620.2025,1680.2100000000003,7200
timestamp_s,1680.2100000000003,1740.2175000000002,7200
timestamp_s,1740.2175000000002,1800.2250000000001,7200
timestamp_s,1800.2250000000001,1860.2325000000003,7200
timestamp_s,1860.2325000000003,1920.2400000000002,7200
timestamp_s,1920.2400000000002,1980.2475000000002,7200
timestamp_s,1980.2475000000002,2040.2550000000003,7206
timestamp_s,2040.2550000000003,2100.2625000000003,7200
timestamp_s,2100.2625000000003,2160.2700000000004,7200
timestamp_s,2160.2700000000004,2220.2775,7200
timestamp_s,2220.2775,2280.2850000000003,7200
timestamp_s,2280.2850000000003,2340.2925000000005,7200
timestamp_s,2340.2925000000005,2400.3,7198
