histogram,bin_left,bin_right,count
relative_translation_norm,0.0,0.2658944347411442,3530
relative_translation_norm,0.2658944347411442,0.5317888694822884,871
relative_translation_norm,0.5317888694822884,0.7976833042234326,1236
relative_translation_norm,0.7976833042234326,1.0635777389645769,1198
relative_translation_norm,1.0635777389645769,1.3294721737057211,1447
relative_translation_norm,1.3294721737057211,1.5953666084468652,1736
relative_translation_norm,1.5953666084468652,1.8612610431880094,2110
relative_translation_norm,1.8612610431880094,2.1271554779291537,5882
relative_translation_norm,2.1271554779291537,2.393049912670298,4047
relative_translation_norm,2.393049912670298,2.6589443474114423,10409
relative_translation_norm,2.6589443474114423,2.9248387821525865,7054
relative_translation_norm,2.9248387821525865,3.1907332168937304,916
relative_translation_norm,3.1907332168937304,3.4566276516348746,1083
relative_translation_norm,3.4566276516348746,3.722522086376019,1198
relative_translation_norm,3.722522086376019,3.988416521117163,2792
relative_translation_norm,3.988416521117163,4.254310955858307,4074
relative_translation_norm,4.254310955858307,4.520205390599451,648
relative_translation_norm,4.520205390599451,4.786099825340596,2214
relative_translation_norm,4.786099825340596,5.05199426008174,3283
relative_translation_norm,5.05199426008174,5.3178886948228845,4193
relative_translation_norm,5.3178886948228845,5.583783129564028,984
relative_translation_norm,5.583783129564028,5.849677564305173,142
relative_translation_norm,5.849677564305173,6.115571999046317,134
relative_translation_norm,6.115571999046317,6.381466433787461,184
relative_translation_norm,6.381466433787461,6.647360868528605,235
relative_translation_norm,6.647360868528605,6.913255303269749,303
relative_translation_norm,6.913255303269749,7.179149738010894,1579
relative_translation_norm,7.179149738010894,7.445044172752038,2517
relative_translation_norm,7.445044172752038,7.7109386074931825,3567
relative_translation_norm,7.7109386074931825,7.976833042234326,7381
relative_translation_norm,7.976833042234326,8.242727476975471,5159
relative_translation_norm,8.242727476975471,8.508621911716615,994
relative_translation_norm,8.508621911716615,8.774516346457759,438
relative_translation_norm,8.774516346457759,9.040410781198903,263
relative_translation_norm,9.040410781198903,9.306305215940048,182
relative_translation_norm,9.306305215940048,9.572199650681192,627
relative_translation_norm,9.572199650681192,9.838094085422336,797
relative_translation_norm,9.838094085422336,10.10398852016348,469
relative_translation_norm,10.10398852016348,10.369882954904625,301
relative_translation_norm,10.369882954904625,10.635777389645769,217
relative_rotation_deg,0.0,3.909287888180323,79043
relative_rotation_deg,3.909287888180323,7.818575776360646,248
relative_rotation_deg,7.818575776360646,11.727863664540969,231
relative_rotation_deg,11.727863664540969,15.637151552721292,311
relative_rotation_deg,15.637151552721292,19.546439440901615,382
relative_rotation_deg,19.546439440901615,23.455727329081938,243
relative_rotation_deg,23.455727329081938,27.36501521726226,376
relative_rotation_deg,27.36501521726226,31.274303105442584,595
relative_rotation_deg,31.274303105442584,35.18359099362291,233
relative_rotation_deg,35.18359099362291,39.09287888180323,906
relative_rotation_deg,39.09287888180323,43.00216676998355,716
relative_rotation_deg,43.00216676998355,46.911454658163876,176
relative_rotation_deg,46.911454658163876,50.8207425463442,218
relative_rotation_deg,50.8207425463442,54.73003043452452,226
relative_rotation_deg,54.73003043452452,58.639318322704845,164
relative_rotation_deg,58.639318322704845,62.54860621088517,386
relative_rotation_deg,62.54860621088517,66.4578940990655,123
relative_rotation_deg,66.4578940990655,70.36718198724581,112
relative_rotation_deg,70.36718198724581,74.27646987542613,269
relative_rotation_deg,74.27646987542613,78.18575776360646,237
relative_rotation_deg,78.18575776360646,82.09504565178679,242
relative_rotation_deg,82.09504565178679,86.0043335399671,73
relative_rotation_deg,86.0043335399671,89.91362142814742,146
relative_rotation_deg,89.91362142814742,93.82290931632775,163
relative_rotation_deg,93.82290931632775,97.73219720450808,58
relative_rotation_deg,97.73219720450808,101.6414850926884,33
relative_rotation_deg,101.6414850926884,105.55077298086871,35
relative_rotation_deg,105.55077298086871,109.46006086904904,76
relative_rotation_deg,109.46006086904904,113.36934875722937,55
relative_rotation_deg,113.36934875722937,117.27863664540969,113
relative_rotation_deg,117.27863664540969,121.18792453359,157
relative_rotation_deg,121.18792453359,125.09721242177034,19
relative_rotation_deg,125.09721242177034,129.00650030995067,5
relative_rotation_deg,129.00650030995067,132.915788198131,7
relative_rotation_deg,132.915788198131,136.8250760863113,4
relative_rotation_deg,136.8250760863113,140.73436397449163,2
relative_rotation_deg,140.73436397449163,144.64365186267196,6
relative_rotation_deg,144.64365186267196,148.55293975085226,1
relative_rotation_deg,148.55293975085226,152.4622276390326,2
relative_rotation_deg,152.4622276390326,156.37151552721292,2
dt,0.25,0.26875,28802
dt,0.26875,0.2875,0
dt,0.2875,0.30625,0
dt,0.30625,0.325,0
dt,0.325,0.34375,0
dt,0.34375,0.3625,0
dt,0.3625,0.38125,0
dt,0.38125,0.4,0
dt,0.4,0.41874999999999996,0
dt,0.41874999999999996,0.4375,0
dt,0.4375,0.45625,0
dt,0.45625,0.475,0
dt,0.475,0.49375,0
dt,0.49375,0.5125,28799
dt,0.5125,0.53125,0
dt,0.53125,0.55,0
dt,0.55,0.56875,0
dt,0.56875,0.5874999999999999,0
dt,0.5874999999999999,0.60625,0
dt,0.60625,0.625,0
dt,0.625,0.64375,0
dt,0.64375,0.6625,0
dt,0.6625,0.6812499999999999,0
dt,0.6812499999999999,0.7,0
dt,0.7,0.71875,0
dt,0.71875,0.7375,0
dt,0.7375,0.75625,0
dt,0.75625,0.775,0
dt,0.775,0.79375,0
dt,0.79375,0.8125,0
dt,0.8125,0.8312499999999999,0
dt,0.8312499999999999,0.85,0
dt,0.85,0.86875,0
dt,0.86875,0.8875,0
dt,0.8875,0.90625,0
dt,0.90625,0.9249999999999999,0
dt,0.9249999999999999,0.94375,0
dt,0.94375,0.9625,0
dt,0.9625,0.98125,0
dt,0.98125,1.0,28793
frame_stride,5.0,5.375,28802
frame_stride,5.375,5.75,0
frame_stride,5.75,6.125,0
frame_stride,6.125,6.5,0
frame_stride,6.5,6.875,0
frame_stride,6.875,7.25,0
frame_stride,7.25,7.625,0
frame_stride,7.625,8.0,0
frame_stride,8.0,8.375,0
frame_stride,8.375,8.75,0
frame_stride,8.75,9.125,0
frame_stride,9.125,9.5,0
frame_stride,9.5,9.875,0
frame_stride,9.875,10.25,28799
frame_stride,10.25,10.625,0
frame_stride,10.625,11.0,0
frame_stride,11.0,11.375,0
frame_stride,11.375,11.75,0
frame_stride,11.75,12.125,0
frame_stride,12.125,12.5,0
frame_stride,12.5,12.875,0
frame_stride,12.875,13.25,0
frame_stride,13.25,13.625,0
frame_stride,13.625,14.0,0
frame_stride,14.0,14.375,0
frame_stride,14.375,14.75,0
frame_stride,14.75,15.125,0
frame_stride,15.125,15.5,0
frame_stride,15.5,15.875,0
frame_stride,15.875,16.25,0
frame_stride,16.25,16.625,0
frame_stride,16.625,17.0,0
frame_stride,17.0,17.375,0
frame_stride,17.375,17.75,0
frame_stride,17.75,18.125,0
frame_stride,18.125,18.5,0
frame_stride,18.5,18.875,0
frame_stride,18.875,19.25,0
frame_stride,19.25,19.625,0
frame_stride,19.625,20.0,28793
